Platform,Post ID,Post Type,Post Content,Post Timestamp,Likes,Comments,Shares,Impressions,Reach,Engagement Rate,Audience Age,Audience Gender,Audience Location,Audience Interests,Campaign ID,Sentiment,Influencer ID
Twitter,91e2bc5e-59bc-4737-84ca-7a5fa77ea0cd,Link,Speak hold evidence job add.,2023-10-12 04:21:27.262,197,130,40,9351,1971,18.62,49,Other,Lebanon,glass,,,
Instagram,cf12dd22-de23-482c-b632-4bf5062c57bb,Link,Behind organization forget argue.,2023-04-11 15:05:54.600,657,260,200,2257,705,158.44,51,Other,El Salvador,something,a0edff02-7590-4f5e-b81f-fca7172fcd73,Neutral,
Instagram,cc95044a-8e88-4ccd-b012-316c4637dd78,Image,Strategy threat structure reality law hospital else.,2021-03-21 23:42:19.486,952,151,33,9780,1125,100.98,59,Male,Reunion,television,,Negative,9d0f660f-c482-417a-ade5-c0abbf1ea859
Facebook,709a0bab-2ba4-4722-8df5-06ecce0b134a,Link,List prove state threat off energy.,2023-10-16 13:24:54.136,732,243,192,4752,3141,37.15,62,Female,Chad,reality,,Positive,
Facebook,ce8f74e2-82a5-4bc9-980c-044434d67632,Link,Affect cell low shoulder Mr might cup see.,2023-06-03 22:21:14.224,82,397,8,6621,3944,12.35,23,Female,Cyprus,crime,e18b1ac3-f43c-4a6a-a3d5-0fb1f6dc070c,,
LinkedIn,3fcfb26a-e665-4e3a-8935-0317c4ca7162,Link,When simple his might clear check try.,2022-07-24 03:02:45.970,120,178,147,7578,1897,23.46,25,Male,Finland,his,,Neutral,
Instagram,124e66c1-1faf-4cc8-821b-43364d21bb96,Video,Trade reason buy husband.,2021-09-06 08:41:04.163,876,205,104,6396,1268,93.45,41,Other,Cote d'Ivoire,quality,,Negative,
Facebook,66f56c2e-b673-45c7-863d-78b30d3565c8,Video,Front agency would store movie author.,2022-03-04 03:59:17.304,891,271,0,7506,2664,43.62,41,Other,Brazil,myself,,,
Instagram,789c8f8c-b2e3-442a-a3da-20502b83ce6f,Link,Sea consumer worry current.,2022-06-09 00:27:22.646,203,178,29,6437,2404,17.05,34,Female,United States Minor Outlying Islands,site,,,
Facebook,9e2ec254-c509-4603-a2a9-9a52010fd771,Link,Current over off certainly edge.,2022-03-23 06:39:01.536,100,235,161,7702,2674,18.55,23,Male,Antigua and Barbuda,continue,,Positive,
Twitter,7f632cb0-f263-40f1-9fff-e5d5147deb72,Link,Bag join space fight environment do idea boy.,2023-04-09 20:48:25.606,877,139,95,9843,2795,39.75,23,Male,Algeria,less,,,
LinkedIn,837670b7-d9a8-43ea-8312-8285a401cab4,Video,Left leg girl low own state many.,2021-11-24 03:43:42.227,731,350,194,4630,3487,36.56,33,Female,Cote d'Ivoire,while,,Negative,09fd85ec-fe5b-456a-9f30-807638b5fb4d
LinkedIn,7ef52759-bfc3-4cf8-b215-8def3256c157,Link,Collection year draw bar front.,2023-02-24 14:39:12.537,810,374,17,3240,1161,103.45,30,Female,Germany,paper,,Negative,0c3489a8-16f7-45c5-bced-52bc50fe8644
Instagram,b0fd3aa8-0ce0-4f22-878f-d9c4d9839930,Link,Young can brother.,2023-08-31 07:12:15.296,820,307,137,3001,2356,53.65,22,Female,Morocco,difference,,,
Facebook,8657bdfa-b6ee-4123-815d-d54473974c3c,Video,Doctor increase easy second left significant.,2023-04-13 18:26:09.311,303,200,128,4025,656,96.19,21,Female,Uganda,final,,Neutral,56f0c814-0a28-444e-b93a-85f35a3e6a50
